105,614,5,5,10
105,614,5,5,10
105,661,10,5,10
105,661,10,5,10
105,786,10,5,10
105,786,10,5,10
105,802,10,5,10
105,802,10,5,10
105,927,10,5,10
105,927,10,5,10
105,333,10,5,10
105,333,10,5,10
105,458,10,5,10
105,458,10,5,10
105,114,10,5,10
105,114,10,5,10
105,239,10,5,10
105,239,10,5,10
105,5,10,5,10
105,67,10,10,10
105,67,10,5,10
105,67,10,10,10
105,645,10,15,10
105,645,10,15,10
110,161,10,15,10
110,224,10,5,10
110,286,10,10,10
110,286,10,15,10
110,286,10,5,10
110,286,10,10,10
110,708,10,5,10
110,770,10,15,10
110,833,10,10,10
110,833,10,5,10
110,833,10,15,10
110,833,10,10,10
110,224,10,15,10
110,286,10,5,10
110,349,10,10,10
110,349,10,15,10
110,349,10,5,10
110,349,10,10,10
110,145,10,15,10
110,208,10,5,10
110,270,10,10,10
110,270,10,15,10
110,270,10,5,10
110,270,10,10,10
110,692,5,5,10
110,692,5,5,10
110,817,5,5,10
110,817,5,5,10
110,239,10,10,10
110,302,10,5,10
110,364,10,15,10
110,364,10,10,10
110,364,10,5,10
110,364,10,15,10
110,364,5,5,10
110,364,5,5,10
110,505,5,5,10
110,505,5,5,10
110,505,15,10,10
110,505,15,10,10
110,83,15,10,10
110,67,20,10,10
110,67,20,10,10
115,20,20,5,10
115,20,20,5,10
115,224,25,5,10
115,224,25,5,10
0,724,10,15,5
0,505,25,5,10
0,505,25,5,10
0,442,25,5,10
5,599,20,5,10
5,599,20,5,10
5,20,10,5,10
5,20,10,5,10
5,145,10,5,10
5,145,10,5,10
15,536,30,5,10
15,536,30,5,10
15,661,30,5,10
15,661,30,5,10
15,989,20,10,10
15,989,20,10,10
20,20,10,5,10
20,20,10,5,10
20,145,10,5,10
20,145,10,5,10
25,864,10,15,5
50,20,10,15,5
50,849,10,5,10
50,849,10,5,10
50,427,10,15,5
50,71,10,15,5
60,23,20,15,5
65,840,10,5,10
65,902,10,15,10
65,965,10,10,10
65,965,10,5,10
65,965,10,15,10
65,965,10,10,10
70,408,10,5,10
70,408,10,5,10
75,731,10,10,10
75,794,10,15,10
75,856,10,5,10
75,856,10,10,10
75,856,10,15,10
75,856,10,5,10
75,356,10,15,5
75,566,10,20,10
75,629,10,20,10
75,691,10,15,10
75,754,10,25,10
75,816,10,30,10
75,879,10,30,10
75,941,10,35,10
75,4,10,40,10
75,66,10,40,10
75,129,10,45,10
75,191,10,45,10
